Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use Chip,Exp Type,Interest_Earned,Delinquent_Acc,transaction_id,transaction_timestamp,merchant_id,merchant_category,city,country,payment_channel,transaction_status,risk_score,is_fraud,ingestion_date,source_system,batch_id
784492832,Blue,445,1,139,2023-10-29,Week-27,Q4,2023,8841.54,4204.26,4299.48,20,0.399,Online,Electronics,2267.45,0,TXN1007769,2023-10-12 10:06:00,7316,Electronics,Hyderabad,India,ONLINE,SUCCESS,0.01,0,2026-02-01,CARD_SYS,1278
783337167,Blue,445,1,107,2023-12-24,Week-35,Q1,2023,12258.02,3990.33,3028.66,244,0.722,Swipe,Travel,6643.17,0,TXN1027665,2023-03-26 01:05:00,5116,Travel,Chennai,India,POS,SUCCESS,0.2,0,2026-02-01,CARD_SYS,1730
725698182,Gold,0,1,57,2023-12-17,Week-15,Q3,2023,9611.62,2945.86,35568.07,185,0.303,Online,Fuel,1014.18,0,TXN1017117,2023-09-02 16:35:00,7176,Fuel,Bangalore,India,ONLINE,SUCCESS,0.94,0,2026-02-01,CARD_SYS,1796
798323249,Blue,445,1,79,2023-04-09,Week-14,Q4,2023,13638.59,4785.64,4214.53,91,0.568,Online,Fuel,7003.46,0,TXN1048210,2023-10-21 19:29:00,5754,Fuel,Delhi,India,POS,SUCCESS,0.2,0,2026-02-01,CARD_SYS,1208
720154994,Blue,995,1,60,2023-03-12,Week-46,Q1,2023,2019.21,147.09,2156.47,40,0.023,Online,Fuel,3276.44,0,TXN1001152,2023-05-22 11:46:00,7794,Fuel,Bangalore,India,POS,FAILED,0.7,0,2026-02-01,CARD_SYS,1588
791249360,Silver,995,0,107,2023-02-05,Week-14,Q4,2023,12537.11,3190.19,31862.91,233,0.949,Online,Travel,5406.23,0,TXN1004667,2023-11-07 22:35:00,8773,Travel,Mumbai,India,ONLINE,FAILED,0.8,0,2026-02-01,CARD_SYS,1521
741142200,Silver,0,1,79,2023-02-26,Week-10,Q1,2023,9173.13,1860.51,4374.27,63,0.507,Online,Entertainment,1460.81,0,TXN1000950,2023-10-15 20:03:00,7043,Entertainment,Mumbai,India,POS,SUCCESS,0.34,0,2026-02-01,CARD_SYS,1013
752873970,Gold,200,1,139,2023-08-13,Week-16,Q3,2023,13331.16,2381.21,48455.76,138,0.13,Chip,Travel,1063.69,0,TXN1018600,2023-06-28 05:53:00,7238,Travel,Bangalore,India,ONLINE,SUCCESS,0.3,0,2026-02-01,CARD_SYS,1354
723708714,Silver,0,1,141,2023-05-07,Week-51,Q3,2023,6717.09,2760.04,42491.54,211,0.681,Chip,Travel,3763.38,0,TXN1031057,2023-04-29 12:56:00,7325,Travel,Delhi,India,POS,SUCCESS,0.42,0,2026-02-01,CARD_SYS,1465
775831720,Silver,200,1,127,2023-05-14,Week-35,Q2,2023,14976.19,3003.23,10141.58,46,0.549,Chip,Entertainment,4264.36,0,TXN1007155,2023-04-25 14:52:00,6143,Entertainment,Chennai,India,ONLINE,SUCCESS,0.39,0,2026-02-01,CARD_SYS,1496
712906392,Silver,200,1,139,2023-02-19,Week-38,Q3,2023,11114.2,2061.36,22755.8,195,0.848,Online,Food,735.97,0,TXN1036430,2023-07-31 16:47:00,9708,Food,Hyderabad,India,ONLINE,SUCCESS,0.91,0,2026-02-01,CARD_SYS,1573
738692544,Blue,0,1,65,2023-10-15,Week-31,Q3,2023,14105.37,4401.18,40799.99,261,0.772,Online,Entertainment,4739.43,0,TXN1046964,2023-06-25 08:54:00,9909,Entertainment,Chennai,India,ONLINE,SUCCESS,0.04,0,2026-02-01,CARD_SYS,1571
781532539,Silver,200,1,69,2023-12-17,Week-45,Q3,2023,10950.02,2759.49,1567.95,182,0.181,Swipe,Grocery,3464.02,0,TXN1039108,2023-09-27 04:23:00,7448,Grocery,Delhi,India,POS,SUCCESS,0.52,0,2026-02-01,CARD_SYS,1552
704672412,Platinum,200,1,66,2023-05-07,Week-45,Q3,2023,4341.72,3804.18,4744.55,88,0.094,Online,Fuel,2389.86,0,TXN1004428,2023-07-23 15:30:00,8094,Fuel,Chennai,India,ATM,SUCCESS,0.94,0,2026-02-01,CARD_SYS,1730
772261245,Gold,200,1,57,2023-04-09,Week-33,Q3,2023,13463.36,3763.43,10141.54,27,0.973,Chip,Food,7114.96,0,TXN1032537,2023-08-05 16:21:00,5874,Food,Hyderabad,India,POS,SUCCESS,0.92,0,2026-02-01,CARD_SYS,1777
758298978,Silver,0,1,76,2023-09-10,Week-17,Q4,2023,7448.26,1986.92,5995.2,111,0.882,Online,Electronics,6013.38,0,TXN1029115,2023-10-15 14:39:00,6990,Electronics,Mumbai,India,ONLINE,SUCCESS,0.03,0,2026-02-01,CARD_SYS,1247
714077417,Blue,445,1,52,2023-10-22,Week-26,Q4,2023,5894.34,657.81,13401.77,278,0.218,Swipe,Travel,7166.85,0,TXN1043068,2023-06-28 15:12:00,7978,Travel,Delhi,India,POS,SUCCESS,0.38,0,2026-02-01,CARD_SYS,1212
795301975,Blue,0,1,85,2023-09-10,Week-32,Q1,2023,6222.54,1510.56,46676.66,253,0.535,Online,Electronics,5092.43,0,TXN1023316,2023-03-03 21:48:00,6149,Electronics,Mumbai,India,POS,SUCCESS,0.78,0,2026-02-01,CARD_SYS,1424
757460664,Blue,445,1,126,2023-05-28,Week-36,Q3,2023,14875.74,2987.77,23687.73,4,0.721,Online,Electronics,6803.39,0,TXN1024851,2023-01-20 19:19:00,6127,Electronics,Bangalore,India,ONLINE,SUCCESS,0.34,0,2026-02-01,CARD_SYS,1564
785936029,Silver,995,1,113,2023-07-16,Week-18,Q2,2023,10583.66,1566.69,5872.22,44,0.532,Online,Entertainment,4103.24,1,TXN1001897,2023-10-17 00:21:00,5639,Entertainment,Mumbai,India,POS,SUCCESS,0.34,0,2026-02-01,CARD_SYS,1044
793551173,Blue,445,0,115,2023-02-05,Week-36,Q4,2023,12338.95,723.65,22548.67,136,0.404,Swipe,Food,1903.48,0,TXN1006003,2023-05-02 07:37:00,6505,Food,Chennai,India,POS,SUCCESS,0.23,0,2026-02-01,CARD_SYS,1068
742115628,Blue,445,1,112,2023-01-22,Week-1,Q1,2023,10384.19,1831.37,47904.03,287,0.459,Swipe,Entertainment,117.06,0,TXN1039372,2023-11-18 22:57:00,6128,Entertainment,Mumbai,India,POS,SUCCESS,0.46,0,2026-02-01,CARD_SYS,1728
757323998,Blue,995,1,58,2023-03-19,Week-41,Q1,2023,10134.58,1971.19,30186.3,255,0.246,Chip,Electronics,7209.57,0,TXN1039398,2023-03-05 22:27:00,8682,Electronics,Bangalore,India,ONLINE,SUCCESS,0.95,0,2026-02-01,CARD_SYS,1384
735770707,Blue,445,1,78,2023-02-26,Week-12,Q2,2023,2497.1,53.32,9834.46,193,0.061,Chip,Electronics,5055.52,0,TXN1030047,2023-02-27 10:19:00,9371,Electronics,Hyderabad,India,ONLINE,FAILED,0.37,0,2026-02-01,CARD_SYS,1854
756968623,Blue,445,1,146,2023-08-20,Week-3,Q3,2023,8336.08,4672.84,39642.31,197,0.752,Swipe,Entertainment,7863.85,0,TXN1030135,2023-06-10 11:33:00,9634,Entertainment,Bangalore,India,ONLINE,SUCCESS,0.2,0,2026-02-01,CARD_SYS,1292
777749818,Gold,200,1,78,2023-04-09,Week-25,Q1,2023,12240.3,3064.84,14920.87,254,0.639,Chip,Food,1109.24,0,TXN1022140,2023-02-28 04:52:00,7492,Food,Delhi,India,ONLINE,SUCCESS,0.4,0,2026-02-01,CARD_SYS,1362
726530147,Blue,995,1,109,2023-02-26,Week-36,Q1,2023,10817.44,142.52,832.6,203,0.424,Chip,Entertainment,825.67,0,TXN1030817,2023-08-28 06:47:00,6519,Entertainment,Bangalore,India,ONLINE,SUCCESS,0.06,0,2026-02-01,CARD_SYS,1566
729427711,Platinum,445,1,136,2023-03-19,Week-18,Q2,2023,5974.09,4177.51,46241.47,171,0.131,Chip,Entertainment,3987.8,0,TXN1025726,2023-05-09 18:35:00,6962,Entertainment,Bangalore,India,ONLINE,SUCCESS,0.64,0,2026-02-01,CARD_SYS,1254
712538784,Blue,0,1,114,2023-02-12,Week-2,Q2,2023,6097.76,1434.83,43420.23,231,0.656,Chip,Grocery,911.02,0,TXN1032546,2023-05-01 04:35:00,9787,Grocery,Delhi,India,ONLINE,SUCCESS,0.68,0,2026-02-01,CARD_SYS,1366
703641771,Silver,995,1,112,2023-10-29,Week-34,Q4,2023,2230.35,1067.26,36950.88,208,0.426,Chip,Fuel,4464.73,0,TXN1003875,2023-01-23 15:52:00,7020,Fuel,Chennai,India,POS,SUCCESS,0.78,0,2026-02-01,CARD_SYS,1783
782877271,Blue,200,1,130,2023-03-19,Week-16,Q2,2023,14093.82,2316.54,6816.84,19,0.444,Online,Grocery,4153.8,0,TXN1028056,2023-12-12 23:47:00,6323,Grocery,Mumbai,India,ONLINE,SUCCESS,0.69,0,2026-02-01,CARD_SYS,1215
707389434,Blue,445,1,119,2023-04-09,Week-49,Q3,2023,2204.71,4323.94,25463.6,172,0.486,Swipe,Fuel,5723.47,0,TXN1008853,2023-11-16 21:57:00,5898,Fuel,Hyderabad,India,ONLINE,SUCCESS,0.16,0,2026-02-01,CARD_SYS,1644
737433217,Gold,445,1,104,2023-03-05,Week-14,Q4,2023,11489.89,735.11,31704.55,49,0.996,Chip,Electronics,1079.39,0,TXN1043458,2023-08-21 11:26:00,7021,Electronics,Delhi,India,POS,SUCCESS,0.24,0,2026-02-01,CARD_SYS,1653
726317156,Silver,200,1,100,2023-10-15,Week-39,Q1,2023,9874.15,4577.94,9173.0,165,0.776,Online,Food,5462.21,0,TXN1025969,2023-08-23 23:43:00,5740,Food,Delhi,India,POS,SUCCESS,0.13,0,2026-02-01,CARD_SYS,1693
722759251,Gold,0,1,87,2023-11-05,Week-37,Q1,2023,2019.38,4863.65,11052.04,97,0.927,Chip,Entertainment,2376.35,0,TXN1030301,2023-02-16 02:24:00,7264,Entertainment,Bangalore,India,ONLINE,SUCCESS,0.65,0,2026-02-01,CARD_SYS,1116
762289191,Blue,995,1,149,2023-07-09,Week-25,Q4,2023,14047.83,4637.13,22798.03,170,0.532,Online,Electronics,2471.12,0,TXN1011749,2023-12-21 21:58:00,8406,Electronics,Delhi,India,ONLINE,SUCCESS,0.74,0,2026-02-01,CARD_SYS,1424
719763284,Silver,0,1,77,2023-12-24,Week-35,Q4,2023,7910.96,698.56,16582.37,34,0.663,Swipe,Electronics,2300.21,0,TXN1006671,2023-09-04 19:32:00,9392,Electronics,Mumbai,India,POS,SUCCESS,0.75,0,2026-02-01,CARD_SYS,1075
749987642,Blue,200,1,80,2023-10-29,Week-23,Q2,2023,12964.94,511.82,45061.49,70,0.618,Online,Grocery,3385.94,0,TXN1047623,2023-02-13 13:04:00,5395,Grocery,Bangalore,India,ONLINE,SUCCESS,0.05,0,2026-02-01,CARD_SYS,1400
799318595,Blue,995,1,93,2023-11-26,Week-40,Q2,2023,4339.49,2091.15,46195.0,117,0.809,Online,Fuel,1252.41,0,TXN1010649,2023-04-06 12:52:00,5584,Fuel,Hyderabad,India,ONLINE,SUCCESS,0.99,0,2026-02-01,CARD_SYS,1487
761635683,Silver,995,1,65,2023-05-14,Week-35,Q3,2023,10461.17,1554.09,48921.25,40,0.913,Chip,Electronics,6961.27,0,TXN1044780,2023-03-31 11:36:00,6845,Electronics,Chennai,India,ONLINE,SUCCESS,0.11,0,2026-02-01,CARD_SYS,1599
772542388,Blue,200,1,114,2023-08-27,Week-20,Q4,2023,9563.57,1215.01,283.97,121,0.879,Online,Travel,7371.19,0,TXN1040921,2023-07-20 08:16:00,8849,Travel,Bangalore,India,ONLINE,SUCCESS,0.11,0,2026-02-01,CARD_SYS,1684
729689368,Blue,445,1,96,2023-01-01,Week-31,Q1,2023,8581.2,3446.34,3882.84,129,0.009,Chip,Grocery,3290.07,0,TXN1048954,2023-01-31 05:58:00,8100,Grocery,Mumbai,India,POS,FAILED,0.69,0,2026-02-01,CARD_SYS,1928
763750423,Blue,445,1,61,2023-04-02,Week-21,Q1,2023,7345.67,4749.12,24503.43,103,0.355,Chip,Entertainment,5407.88,0,TXN1014446,2023-12-17 16:26:00,6985,Entertainment,Bangalore,India,POS,SUCCESS,0.45,0,2026-02-01,CARD_SYS,1199
704763090,Blue,0,1,59,2023-03-26,Week-21,Q4,2023,6189.63,1446.5,37311.93,270,0.436,Online,Travel,5897.06,0,TXN1012983,2023-10-26 20:37:00,5404,Travel,Delhi,India,ONLINE,SUCCESS,0.31,0,2026-02-01,CARD_SYS,1427
755169298,Blue,445,1,65,2023-11-19,Week-47,Q2,2023,12333.72,31.34,11949.83,124,0.239,Online,Travel,3510.61,0,TXN1018848,2023-08-30 06:09:00,7440,Travel,Bangalore,India,POS,SUCCESS,0.04,0,2026-02-01,CARD_SYS,1271
707429174,Silver,0,1,75,2023-09-03,Week-18,Q1,2023,11203.8,472.44,1563.22,132,0.281,Swipe,Travel,7692.74,0,TXN1015526,2023-11-16 02:13:00,7361,Travel,Bangalore,India,ATM,SUCCESS,0.44,0,2026-02-01,CARD_SYS,1616
779239368,Gold,995,1,79,2023-04-02,Week-11,Q1,2023,4704.27,1954.76,22910.58,146,0.028,Chip,Entertainment,5343.04,0,TXN1016759,2023-09-11 06:15:00,6576,Entertainment,Hyderabad,India,POS,SUCCESS,0.76,0,2026-02-01,CARD_SYS,1844
756458467,Blue,200,1,128,2023-04-16,Week-21,Q1,2023,12226.73,1235.03,49589.43,192,0.261,Chip,Food,6794.36,0,TXN1017078,2023-02-07 21:56:00,7390,Food,Hyderabad,India,ONLINE,SUCCESS,0.7,0,2026-02-01,CARD_SYS,1694
764128397,Gold,200,0,112,2023-11-19,Week-23,Q2,2023,5575.31,2743.77,22951.43,189,0.035,Chip,Fuel,4270.18,0,TXN1016250,2023-10-17 16:56:00,5208,Fuel,Delhi,India,POS,SUCCESS,0.83,0,2026-02-01,CARD_SYS,1003
776156092,Silver,200,1,77,2023-07-16,Week-44,Q1,2023,11873.78,2621.87,37842.0,181,0.857,Online,Food,6557.59,0,TXN1038178,2023-04-03 13:00:00,9959,Food,Delhi,India,ONLINE,SUCCESS,0.24,0,2026-02-01,CARD_SYS,1907
780436760,Blue,200,1,55,2023-03-05,Week-29,Q2,2023,11138.06,1046.89,23743.83,195,0.324,Swipe,Entertainment,2931.03,0,TXN1024980,2023-01-02 18:10:00,6458,Entertainment,Chennai,India,POS,SUCCESS,0.55,0,2026-02-01,CARD_SYS,1217
781318784,Blue,0,0,125,2023-01-29,Week-19,Q4,2023,4057.65,136.16,20842.11,9,0.004,Online,Fuel,6434.91,0,TXN1007954,2023-08-27 21:40:00,5336,Fuel,Chennai,India,POS,SUCCESS,0.95,0,2026-02-01,CARD_SYS,1630
765354813,Blue,445,0,140,2023-08-20,Week-3,Q2,2023,12403.2,1635.13,31677.4,273,0.341,Chip,Electronics,3685.96,0,TXN1037453,2023-09-08 05:09:00,8054,Electronics,Delhi,India,ONLINE,SUCCESS,0.95,0,2026-02-01,CARD_SYS,1354
719643412,Blue,445,0,131,2023-04-09,Week-31,Q3,2023,4716.31,4085.83,40785.55,219,0.139,Chip,Grocery,6213.52,0,TXN1041174,2023-01-08 10:12:00,5476,Grocery,Mumbai,India,POS,REVERSED,0.4,0,2026-02-01,CARD_SYS,1080
785176165,Blue,995,1,142,2023-11-26,Week-48,Q1,2023,4620.27,3979.65,42100.52,120,0.367,Swipe,Electronics,4626.23,0,TXN1032804,2023-09-11 05:23:00,7809,Electronics,Mumbai,India,ONLINE,SUCCESS,0.91,0,2026-02-01,CARD_SYS,1429
772202252,Silver,445,1,58,2023-02-05,Week-15,Q1,2023,5789.96,1397.44,2818.7,77,0.182,Swipe,Travel,6244.33,0,TXN1007094,2023-04-02 03:24:00,9180,Travel,Hyderabad,India,ONLINE,SUCCESS,0.23,0,2026-02-01,CARD_SYS,1352
755708606,Blue,445,1,116,2023-02-05,Week-43,Q2,2023,10800.67,1638.73,17667.69,82,0.092,Swipe,Grocery,7857.85,0,TXN1046070,2023-05-02 12:15:00,6823,Grocery,Bangalore,India,POS,SUCCESS,0.5,0,2026-02-01,CARD_SYS,1886
732125514,Silver,445,1,92,2023-01-15,Week-20,Q4,2023,2072.6,3746.01,28535.1,30,0.211,Online,Fuel,3513.93,0,TXN1024612,2023-12-15 02:24:00,8100,Fuel,Delhi,India,ATM,SUCCESS,0.09,0,2026-02-01,CARD_SYS,1960
739802705,Gold,0,0,70,2023-01-29,Week-9,Q4,2023,6618.09,4627.13,47919.43,229,0.471,Swipe,Electronics,1470.48,0,TXN1030392,2023-01-01 16:54:00,5949,Electronics,Delhi,India,POS,SUCCESS,0.31,0,2026-02-01,CARD_SYS,1358
715851428,Blue,0,1,76,2023-02-19,Week-11,Q4,2023,3103.7,2698.21,17328.74,26,0.729,Swipe,Grocery,1908.05,0,TXN1002984,2023-02-23 13:17:00,7396,Grocery,Delhi,India,ONLINE,SUCCESS,0.35,0,2026-02-01,CARD_SYS,1875
747934584,Blue,0,0,69,2023-03-05,Week-2,Q3,2023,9218.9,2176.64,24220.43,3,0.043,Swipe,Food,2370.99,0,TXN1032146,2023-04-25 15:31:00,9444,Food,Hyderabad,India,ONLINE,SUCCESS,0.12,0,2026-02-01,CARD_SYS,1747
741391038,Blue,995,1,92,2023-07-02,Week-19,Q2,2023,12012.35,2013.93,27111.93,122,0.36,Online,Food,2417.4,0,TXN1018398,2023-09-25 23:33:00,9348,Food,Mumbai,India,ONLINE,SUCCESS,0.93,0,2026-02-01,CARD_SYS,1730
799397803,Blue,0,1,132,2023-01-15,Week-49,Q4,2023,3992.34,4622.05,42287.47,219,0.06,Swipe,Fuel,1209.36,0,TXN1011899,2023-05-29 10:00:00,5649,Fuel,Hyderabad,India,POS,SUCCESS,0.25,0,2026-02-01,CARD_SYS,1503
745217239,Blue,445,1,97,2023-07-09,Week-20,Q4,2023,12623.08,3535.27,29453.95,76,0.886,Swipe,Fuel,5695.16,0,TXN1015924,2023-12-30 05:12:00,9850,Fuel,Delhi,India,ONLINE,SUCCESS,0.86,0,2026-02-01,CARD_SYS,1409
720187075,Silver,445,1,144,2023-03-19,Week-47,Q3,2023,13256.55,4494.94,10319.94,205,0.557,Online,Grocery,954.76,0,TXN1039549,2023-04-01 00:35:00,6852,Grocery,Mumbai,India,ONLINE,SUCCESS,0.18,0,2026-02-01,CARD_SYS,1035
790607388,Gold,0,1,141,2023-07-09,Week-12,Q2,2023,12038.29,236.52,2272.81,89,0.849,Swipe,Food,5584.36,0,TXN1003467,2023-02-27 01:33:00,8131,Food,Chennai,India,ATM,SUCCESS,0.49,0,2026-02-01,CARD_SYS,1689
765540418,Blue,445,1,102,2023-01-29,Week-38,Q1,2023,10760.0,516.36,44803.17,231,0.286,Swipe,Fuel,221.39,0,TXN1033874,2023-05-20 15:44:00,6122,Fuel,Bangalore,India,ONLINE,SUCCESS,0.36,0,2026-02-01,CARD_SYS,1059
787339788,Gold,0,1,110,2023-03-26,Week-11,Q1,2023,8861.72,3548.6,30973.81,295,0.099,Chip,Entertainment,6153.01,0,TXN1008858,2023-07-19 16:01:00,6183,Entertainment,Bangalore,India,POS,SUCCESS,0.71,0,2026-02-01,CARD_SYS,1610
758270595,Blue,0,1,117,2023-04-09,Week-26,Q1,2023,10525.39,4466.37,17979.23,47,0.722,Online,Entertainment,6212.03,0,TXN1026977,2023-07-11 12:58:00,7346,Entertainment,Chennai,India,ONLINE,SUCCESS,0.16,0,2026-02-01,CARD_SYS,1162
758459326,Silver,995,1,127,2023-01-22,Week-46,Q3,2023,4588.14,1543.12,8738.23,291,0.735,Swipe,Food,5240.1,0,TXN1014304,2023-06-24 12:08:00,5896,Food,Chennai,India,ONLINE,SUCCESS,0.67,0,2026-02-01,CARD_SYS,1563
780727691,Blue,200,0,116,2023-04-09,Week-48,Q4,2023,11414.33,4519.51,39459.49,33,0.978,Online,Grocery,466.01,0,TXN1028665,2023-03-19 10:02:00,8370,Grocery,Hyderabad,India,POS,SUCCESS,0.01,0,2026-02-01,CARD_SYS,1300
745837139,Blue,0,0,112,2023-04-02,Week-1,Q3,2023,8483.72,3266.79,37991.89,269,0.744,Online,Electronics,5459.95,0,TXN1012016,2023-10-17 15:41:00,9599,Electronics,Bangalore,India,ONLINE,SUCCESS,0.34,0,2026-02-01,CARD_SYS,1587
713015771,Blue,995,1,122,2023-02-26,Week-17,Q3,2023,9754.03,2446.47,35848.39,70,0.343,Swipe,Food,997.77,0,TXN1008801,2023-10-27 17:24:00,9723,Food,Mumbai,India,ONLINE,SUCCESS,0.47,0,2026-02-01,CARD_SYS,1760
768986587,Blue,445,1,76,2023-12-24,Week-51,Q2,2023,2112.91,2449.32,49080.84,244,0.367,Swipe,Fuel,2365.46,0,TXN1033803,2023-06-26 10:08:00,9544,Fuel,Chennai,India,POS,SUCCESS,0.33,0,2026-02-01,CARD_SYS,1242
707815157,Blue,995,1,118,2023-08-13,Week-36,Q3,2023,14550.69,4085.74,16131.53,207,0.622,Swipe,Grocery,5677.48,0,TXN1018221,2023-06-02 08:23:00,8412,Grocery,Hyderabad,India,POS,SUCCESS,0.82,0,2026-02-01,CARD_SYS,1986
780600350,Blue,445,0,148,2023-08-13,Week-21,Q3,2023,6153.46,4254.54,18173.33,247,0.431,Chip,Food,6188.05,0,TXN1038381,2023-06-21 21:23:00,9610,Food,Bangalore,India,POS,SUCCESS,0.62,0,2026-02-01,CARD_SYS,1261
708587187,Platinum,200,1,100,2023-03-19,Week-28,Q3,2023,14837.48,4169.06,34873.25,280,0.71,Swipe,Fuel,2949.74,0,TXN1048291,2023-11-27 06:46:00,5255,Fuel,Delhi,India,ONLINE,SUCCESS,0.77,0,2026-02-01,CARD_SYS,1854
720848152,Gold,995,1,115,2023-10-22,Week-28,Q4,2023,3282.49,4088.7,30178.92,225,0.934,Online,Electronics,4990.34,0,TXN1015532,2023-07-22 18:57:00,5537,Electronics,Chennai,India,POS,SUCCESS,0.27,0,2026-02-01,CARD_SYS,1657
780745970,Platinum,995,1,60,2023-08-27,Week-16,Q3,2023,7253.37,547.65,22306.05,159,0.088,Chip,Electronics,2151.14,0,TXN1038182,2023-02-24 17:32:00,7142,Electronics,Bangalore,India,POS,SUCCESS,0.57,0,2026-02-01,CARD_SYS,1302
783490701,Blue,445,1,141,2023-11-05,Week-5,Q4,2023,7001.6,3526.37,4908.04,175,0.913,Online,Entertainment,5366.41,0,TXN1015652,2023-02-08 20:56:00,6521,Entertainment,Bangalore,India,ONLINE,SUCCESS,0.48,0,2026-02-01,CARD_SYS,1878
733116768,Gold,445,1,88,2023-11-12,Week-40,Q2,2023,14803.23,3287.76,38407.42,20,0.841,Online,Fuel,1148.16,0,TXN1023615,2023-07-10 02:04:00,6751,Fuel,Delhi,India,POS,SUCCESS,0.32,0,2026-02-01,CARD_SYS,1964
786128518,Blue,995,1,97,2023-04-09,Week-6,Q2,2023,14384.06,3043.78,11270.16,171,0.42,Chip,Travel,7382.41,0,TXN1042663,2023-11-04 23:57:00,8337,Travel,Chennai,India,POS,SUCCESS,0.68,0,2026-02-01,CARD_SYS,1129
757416397,Blue,445,1,124,2023-03-05,Week-2,Q3,2023,3275.08,3420.18,32808.73,88,0.63,Online,Fuel,5674.21,1,TXN1025404,2023-07-09 20:46:00,7484,Fuel,Chennai,India,ONLINE,SUCCESS,0.39,0,2026-02-01,CARD_SYS,1878
774272221,Silver,445,1,77,2023-10-29,Week-37,Q3,2023,3567.32,1335.16,41865.33,158,0.38,Swipe,Food,2393.89,0,TXN1008490,2023-04-30 05:02:00,7047,Food,Bangalore,India,ATM,SUCCESS,0.89,0,2026-02-01,CARD_SYS,1117
